experiment_key,plot_label,video_key,direction,min_avg_conf,min_duration_s,max_duration_s,overall_wape,keke_f1
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.3,0.0,10.0,1.676056338028169,0.26760563380281693
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.3,0.15,10.0,1.5103092783505154,0.20338983050847456
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.3,0.15,10.0,1.5070422535211268,0.2695035460992908
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.3,0.3,10.0,1.4742268041237114,0.1839080459770115
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.3,0.3,10.0,1.4507042253521127,0.22058823529411764
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.3,0.5,10.0,1.288659793814433,0.14201183431952663
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.3,0.5,10.0,1.3380281690140845,0.16666666666666666
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.4,0.0,10.0,1.458762886597938,0.1931818181818182
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.4,0.0,10.0,1.5704225352112675,0.2553191489361702
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.4,0.15,10.0,1.3969072164948453,0.1931818181818182
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.4,0.15,10.0,1.4507042253521127,0.2571428571428572
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.4,0.3,10.0,1.3762886597938144,0.17341040462427748
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.4,0.3,10.0,1.3943661971830985,0.2074074074074074
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.4,0.5,10.0,1.2061855670103092,0.13095238095238096
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.4,0.5,10.0,1.2887323943661972,0.15267175572519082
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.5,0.0,10.0,1.2268041237113403,0.18285714285714286
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.5,0.0,10.0,1.443661971830986,0.2043795620437956
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.5,0.15,10.0,1.1958762886597938,0.18285714285714286
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.5,0.15,10.0,1.3591549295774648,0.20588235294117646
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.5,0.3,10.0,1.1804123711340206,0.1627906976744186
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.5,0.3,10.0,1.3028169014084507,0.18045112781954886
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.5,0.5,10.0,1.0360824742268042,0.13095238095238096
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.5,0.5,10.0,1.1971830985915493,0.13846153846153847
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.6,0.0,10.0,1.0,0.1627906976744186
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.6,0.0,10.0,1.2464788732394365,0.10852713178294573
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.6,0.15,10.0,0.979381443298969,0.1627906976744186
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,upward,0.6,0.15,10.0,1.2253521126760563,0.109375
mubi_road__yolo11l_tuned__botsort__roi,YOLO11l tuned | botsort | ROI,mubi_road,downward,0.6,0.3,10.0,0.9690721649484536,0.14201183431952663
