experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,downward,car,7,35,-28,28,-80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,downward,truck,1,2,-1,1,-50.0,50.0,0.5,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,upward,bus,0,0,0,0,,,,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,upward,car,9,17,-8,8,-47.05882352941177,47.05882352941177,0.5294117647058824,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,upward,keke,2,120,-118,118,-98.33333333333333,98.33333333333333,0.01666666666666672,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__full_frame,YOLO11l tuned | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,full_frame,upward,truck,1,5,-4,4,-80.0,80.0,0.19999999999999996,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,downward,bus,6,1,5,5,500.0,500.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,downward,car,125,35,90,90,257.14285714285717,257.14285714285717,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,downward,keke,20,156,-136,136,-87.17948717948718,87.17948717948718,0.1282051282051282,0.15,10.0,0.4
