epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,22194.5,1.0623,0.77328,0.00533,0.76749,0.69211,0.75411,0.56912,1.12071,1.10285,0.00863,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,22487.8,1.05291,0.76832,0.00521,0.77055,0.69239,0.75466,0.56902,1.12064,1.10512,0.00862,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,22780.8,1.04568,0.7553,0.00522,0.77151,0.69188,0.75505,0.56925,1.12089,1.10514,0.00862,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,23073.9,1.03983,0.73718,0.00518,0.77185,0.6918,0.75516,0.56947,1.1212,1.10531,0.00863,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,23366.9,1.02937,0.731,0.00517,0.77104,0.69098,0.75478,0.56924,1.12188,1.10645,0.00864,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,23660,1.03256,0.73372,0.00506,0.76911,0.69205,0.75405,0.56826,1.12168,1.10794,0.00863,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,23952.8,1.02674,0.72618,0.00504,0.77251,0.6886,0.75382,0.56823,1.12261,1.10728,0.00863,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,24246.1,1.01686,0.71396,0.00497,0.77228,0.68859,0.75385,0.56832,1.12323,1.10977,0.00864,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,24539.1,1.00791,0.70412,0.00501,0.76861,0.69363,0.75354,0.56813,1.12365,1.11266,0.00864,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,24832.5,1.0177,0.70742,0.00492,0.76888,0.6922,0.75413,0.56869,1.12503,1.11148,0.00865,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
